Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	Duration - hh:mm:ss.ms	svara	motifs	phrases
00:01:51.076	00:01:51.382	00:00:00.306	ma		
00:01:51.080	00:01:53.422	00:00:02.342		ma pa ma ga ri	
00:01:51.382	00:01:51.676	00:00:00.294	pa		
00:01:51.676	00:01:52.088	00:00:00.412	ma		
00:01:52.088	00:01:52.558	00:00:00.470	ga		
00:01:52.558	00:01:53.416	00:00:00.858	ri		
00:01:54.966	00:01:55.872	00:00:00.906	ni		
00:01:54.969	00:01:57.334	00:00:02.365		ni sa ri	
00:01:55.872	00:01:56.778	00:00:00.906	sa		
00:01:56.778	00:01:57.331	00:00:00.553	ri		
00:01:57.331	00:01:57.813	00:00:00.482	ga		
00:01:57.813	00:01:58.284	00:00:00.471	ma		
00:01:58.284	00:01:59.207	00:00:00.923	pa		
00:01:59.207	00:01:59.665	00:00:00.458	dha		
00:01:59.207	00:02:00.651	00:00:01.444		dha ni sa	
00:01:59.665	00:02:00.140	00:00:00.475	ni		
00:02:00.140	00:02:00.651	00:00:00.511	sa		
00:02:00.651	00:02:01.483	00:00:00.832	 ni		
00:02:00.660	00:02:02.464	00:00:01.804		ni dha pa	
00:02:01.483	00:02:02.024	00:00:00.541	dha		
00:02:02.024	00:02:02.461	00:00:00.437	pa		
00:02:02.463	00:02:02.906	00:00:00.443	ma		
00:02:02.906	00:02:03.777	00:00:00.871	ga		
00:02:04.412	00:02:05.294	00:00:00.882	ri		
00:02:05.294	00:02:05.765	00:00:00.471	sa		
00:02:05.765	00:02:06.387	00:00:00.622	ri		
00:02:05.770	00:02:08.232	00:00:02.462		ri sa ni	
00:02:06.391	00:02:07.270	00:00:00.879	sa		
00:02:07.270	00:02:08.235	00:00:00.965	ni		
00:02:08.235	00:02:08.749	00:00:00.514	ni		
00:02:08.235	00:02:10.631	00:00:02.396		ni dha	
00:02:08.760	00:02:10.631	00:00:01.871	dha		
00:02:11.600	00:02:12.918	00:00:01.318	ma		
00:02:11.600	00:02:14.417	00:00:02.817		ma pa	
00:02:12.929	00:02:14.417	00:00:01.488	pa		
00:02:14.919	00:02:15.771	00:00:00.852	dha		
00:02:14.919	00:02:17.651	00:00:02.732		dha ni sa	
00:02:15.778	00:02:16.557	00:00:00.779	ni		
00:02:16.557	00:02:17.651	00:00:01.094	sa		
00:02:18.150	00:02:18.608	00:00:00.458	dha		
00:02:18.151	00:02:23.405	00:00:05.254			dha ni sa ri ga ma pa ma ga ri
00:02:18.608	00:02:19.076	00:00:00.468	ni		
00:02:19.076	00:02:19.502	00:00:00.426	sa		
00:02:19.502	00:02:19.938	00:00:00.436	ri		
00:02:19.938	00:02:20.620	00:00:00.682	ga		
